source_id,title,url,source_class,scope,claim_supported,limitations,retrieved_at
src.jekyll.datafiles,Jekyll Data Files,https://jekyllrb.com/docs/datafiles/,official_project_docs,Jekyll _data JSON/YAML/CSV input for rendering,_data files are loaded and accessible via site.data,Build-time data only; folder scanning needs plugin or prebuild script,2026-06-22
src.jekyll.plugins.githubpages,Jekyll Plugins on GitHub Pages,https://jekyllrb.com/docs/plugins/installation/,official_project_docs,GitHub Pages plugin safe mode limitation,custom plugins are disabled by GitHub Pages safe mode unless using a workflow/prebuild,Use Python prebuild for GitHub Pages compatibility,2026-06-22
src.bootstrap.collapse,Bootstrap 5.3 Collapse,https://getbootstrap.com/docs/5.3/components/collapse/,official_project_docs,Collapse UI behavior and classes,collapse uses show/collapsing classes and animated height transitions,Fade effect added locally on top of Bootstrap behavior,2026-06-22
src.openwrt.toh,OpenWrt Table of Hardware,https://openwrt.org/toh/start,official_project_docs,Router/network-device import seed and compatibility categories,OpenWrt ToH lists supported hardware devices,Device-specific support still requires per-model review,2026-06-22
src.lvfs,Linux Vendor Firmware Service,https://fwupd.org/,firmware_metadata_service,Firmware metadata source class for Linux desktop/laptop/peripherals,LVFS provides firmware metadata for fwupd clients,Not every vendor/device participates,2026-06-22
src.linux_usb.ids,USB ID Repository,https://www.linux-usb.org/usb-ids.html,registry,USB vendor/product identifier import seed,public repository of known USB vendor/device/class IDs,"Identifier registry, not a device manual/source of compatibility alone",2026-06-22
src.systemd.hwdb,systemd hwdb,https://www.freedesktop.org/software/systemd/man/hwdb.html,official_project_docs,Linux hardware metadata mapping,hwdb maps modalias-like keys to udev properties,Metadata mapping; not proof of full device support,2026-06-22
src.amd.7800x3d,AMD Ryzen 7 7800X3D Desktop Processor,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-7-7800x3d.html,official_vendor_docs,Concrete CPU endpoint source,AMD publishes official specs and OS-support notes for Ryzen 7 7800X3D,No inferred motherboard compatibility without board source,2026-06-22
src.nvidia.rtx4090,NVIDIA GeForce RTX 4090,https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/rtx-4090/,official_vendor_docs,Concrete GPU endpoint source,NVIDIA publishes official RTX 4090 specs,Board-partner SKUs require separate endpoints,2026-06-22
src.samsung.s23.specs,Samsung Galaxy S23 Specs,https://www.samsung.com/in/smartphones/galaxy-s/galaxy-s23-phantom-black-128gb-sm-s911bzkbins/,official_vendor_docs,Samsung Galaxy S23 device endpoint source,Samsung publishes Galaxy S23 features/specifications,Regional model and firmware builds require separate source records,2026-06-22
src.samsung.s23.samfw,SamFW SM-S911B Firmware Listing,https://samfw.com/firmware/SM-S911B,firmware_metadata_service,Samsung SM-S911B firmware/dump metadata seed,SamFW indexes Galaxy S23 SM-S911B firmware builds and metadata,Third-party metadata; firmware flashing risk; not a safety guarantee,2026-06-22
src.google.pixel.specs,Pixel phone hardware tech specs,https://support.google.com/pixelphone/answer/7158570,official_vendor_docs,Google Pixel smartphone endpoint source,Google publishes Pixel hardware specifications,Exact regional model numbers require additional device/label evidence,2026-06-22
src.google.factory.images,Factory Images for Nexus and Pixel Devices,https://developers.google.com/android/images,official_vendor_docs,Pixel firmware/factory image metadata source,Google publishes factory image files and cautions about safer OTA sideload/full restore context,Flashing can reset data and requires exact model/version matching,2026-06-22
src.apple.identify.iphone,Identify your iPhone model,https://support.apple.com/en-us/108044,official_vendor_docs,iPhone model-number endpoint source,Apple lists iPhone 15 model numbers and regions,Firmware signing/current version is time-sensitive,2026-06-22
src.apple.configurator.ipsw,Apple Configurator update/restore devices,https://support.apple.com/en-mz/guide/apple-configurator-mac/cad789a3f0bd/mac,official_vendor_docs,IPSW restore/update relation source,Apple Configurator can update/restore by dragging an .ipsw file onto a selected device,Signed-version availability/currentness must be verified live,2026-06-22
src.nintendo.switch.models,How to check your model number,https://www.nintendo.com/ph/support/switch/modal/outline.html,official_vendor_docs,Nintendo Switch model endpoint source,"Nintendo lists Switch OLED HEG-001, Switch HAC-001, and Switch Lite HDH-001 model-number locations",Firmware/package metadata remains separate,2026-06-22
src.playstation.manuals,PlayStation manuals,https://www.playstation.com/en-us/support/hardware/manuals/,official_vendor_docs,PlayStation device/manual endpoints,Sony/PlayStation publishes console and accessory manuals,Service manuals may not be official/current,2026-06-22
src.playstation.ps3.manual,PS3 Online User's Guide,https://manuals.playstation.net/document/en/ps3/current/index.html,official_vendor_docs,PS3 system software/user guide relation,Sony PS3 user guide explains PS3 system software usage,Online services/features may change,2026-06-22
src.xbox.system.updates,Xbox system updates,https://support.xbox.com/en-US/help/hardware-network/settings-updates/whats-new-xbox-one-system-updates,official_vendor_docs,Xbox OS-version relation source,Xbox support explains where to find console OS version and lists updates,Current OS version is time-sensitive,2026-06-22
src.mame.docs,Systems Emulated by MAME,https://docs.mamedev.org/initialsetup/mameintro.html,official_project_docs,Emulator/software and retro-platform relation source,MAME can emulate tens of thousands of systems and covers arcade/home/business systems,Compatibility of each machine requires per-driver review,2026-06-22
